Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-04-05 00:00:09.191,    0.000,TCP  ,26913_25,43618,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:00:09.191,    0.000,TCP  ,EXT_SERVER,23,26913_25,43618,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:02:56.395,    0.000,TCP  ,26914_116,1817,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:02:56.395,    0.000,TCP  ,EXT_SERVER,23,26914_116,1817,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:03:23.251,    0.001,TCP  ,26915_202,57272,EXT_SERVER,1433,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:03:23.251,    0.001,TCP  ,EXT_SERVER,1433,26915_202,57272,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:03:24.867,    0.000,TCP  ,26916_254,11492,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:03:24.867,    0.000,TCP  ,EXT_SERVER,23,26916_254,11492,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:00:36.371,    0.018,UDP  ,10014_199,123,EXT_SERVER,60657,       1,      76,    1,......,  0,suspicious,---,---,---
2017-04-05 00:00:36.371,    0.018,UDP  ,EXT_SERVER,60657,10014_199,123,       1,      76,    1,......,  0,suspicious,---,---,---
2017-04-05 00:04:42.824,    1.199,TCP  ,EXT_SERVER,445,26917_156,1887,       3,     120,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:04:42.824,    1.199,TCP  ,26917_156,1887,EXT_SERVER,445,       3,     144,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:05:39.990,    0.000,TCP  ,15533_29,61554,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:05:39.990,    0.000,TCP  ,EXT_SERVER,23,15533_29,61554,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:05:48.772,    0.000,TCP  ,26918_197,48242,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:05:48.772,    0.000,TCP  ,EXT_SERVER,23,26918_197,48242,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:04:22.041,  137.692,TCP  ,EXT_SERVER,23,26919_113,46332,       2,      80,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:04:22.041,  137.692,TCP  ,26919_113,46332,EXT_SERVER,23,       2,      92,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:06:53.403,    0.000,TCP  ,26920_78,56929,EXT_SERVER,23,       1,      60,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:06:53.403,    0.000,TCP  ,EXT_SERVER,23,26920_78,56929,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:06:53.535,    0.000,TCP  ,26921_233,53748,EXT_SERVER,27017,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:06:53.535,    0.000,TCP  ,EXT_SERVER,27017,26921_233,53748,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:07:55.720,    0.000,TCP  ,12615_138,18639,EXT_SERVER,1200,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:07:55.720,    0.000,TCP  ,EXT_SERVER,1200,12615_138,18639,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:08:24.947,    0.000,TCP  ,26916_254,11492,EXT_SERVER,2323,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:08:24.947,    0.000,TCP  ,EXT_SERVER,2323,26916_254,11492,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:08:50.945,    0.001,TCP  ,26922_218,57742,EXT_SERVER,5358,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:08:50.945,    0.001,TCP  ,EXT_SERVER,5358,26922_218,57742,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:09:06.334,    0.000,TCP  ,26923_33,15645,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:09:06.334,    0.000,TCP  ,EXT_SERVER,23,26923_33,15645,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:06:11.161,    0.000,UDP  ,26900_48,5079,EXT_SERVER,5060,       1,     433,    1,......,  0,suspicious,---,---,---
2017-04-05 00:06:11.161,    0.000,ICMP ,EXT_SERVER,0,26900_48,3.3,       1,     461,    1,......,  0,suspicious,---,---,---
2017-04-05 00:09:36.102,    0.000,TCP  ,26924_187,52397,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:09:36.102,    0.000,TCP  ,EXT_SERVER,23,26924_187,52397,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:09:52.278,    0.032,TCP  ,EXT_SERVER,3490,10055_218,52858,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:09:52.278,    0.032,TCP  ,10055_218,52858,EXT_SERVER,3490,       2,      92,    1,...RS.,  0,suspicious,---,---,---
2017-04-05 00:10:14.975,    0.000,TCP  ,26925_153,49738,EXT_SERVER,1433,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:10:14.975,    0.000,TCP  ,EXT_SERVER,1433,26925_153,49738,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:10:51.002,    0.000,TCP  ,26916_254,11492,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:10:51.002,    0.000,TCP  ,EXT_SERVER,23,26916_254,11492,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:11:11.738,    0.000,TCP  ,26926_225,46745,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:11:11.738,    0.000,TCP  ,EXT_SERVER,23,26926_225,46745,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:12:55.906,    0.001,TCP  ,EXT_SERVER,50804,12588_238,290,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:12:55.906,    0.001,TCP  ,12588_238,290,EXT_SERVER,50804,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:16:29.408,    0.000,TCP  ,26927_182,59973,EXT_SERVER,7547,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:16:29.408,    0.000,TCP  ,EXT_SERVER,7547,26927_182,59973,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:16:54.540,    0.000,TCP  ,26928_69,14411,EXT_SERVER,2323,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:16:54.540,    0.000,TCP  ,EXT_SERVER,2323,26928_69,14411,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:20:00.294,    0.000,TCP  ,26929_203,57280,EXT_SERVER,1433,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:20:00.294,    0.000,TCP  ,EXT_SERVER,1433,26929_203,57280,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:26:38.761,    0.000,TCP  ,26930_143,41480,EXT_SERVER,17185,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:26:38.761,    0.000,TCP  ,EXT_SERVER,17185,26930_143,41480,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:26:57.553,    0.000,TCP  ,10678_57,12618,EXT_SERVER,2433,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:26:57.553,    0.000,TCP  ,EXT_SERVER,2433,10678_57,12618,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:28:32.641,    0.000,TCP  ,26931_230,44938,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:28:32.641,    0.000,TCP  ,EXT_SERVER,23,26931_230,44938,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:27:02.429,  100.058,TCP  ,26932_87,63676,EXT_SERVER,80,       7,     384,    1,  0xdb,  0,unknown,---,---,---
2017-04-05 00:27:02.429,  100.058,TCP  ,EXT_SERVER,80,26932_87,63676,       7,   11924,    1,.APRSF,  0,unknown,---,---,---
2017-04-05 00:29:02.602,    0.000,TCP  ,26933_117,21,EXT_SERVER,42183,       1,      46,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:31:29.711,    0.000,TCP  ,26933_117,21,EXT_SERVER,58404,       1,      46,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:35:24.574,    0.266,TCP  ,10205_37,45129,EXT_SERVER,80,       2,      92,    1,...RS.,  0,unknown,---,---,---
2017-04-05 00:35:24.574,    0.266,TCP  ,EXT_SERVER,80,10205_37,45129,       1,      44,    1,.A..S.,  0,unknown,---,---,---
2017-04-05 00:35:28.091,    1.224,TCP  ,26934_93,48435,EXT_SERVER,22,       4,     216,    1,.A.RS.,  0,suspicious,---,---,---
2017-04-05 00:35:28.091,    1.224,TCP  ,EXT_SERVER,22,26934_93,48435,       2,     153,    1,.AP.S.,  0,suspicious,---,---,---
2017-04-05 00:36:48.318,    0.000,TCP  ,10638_116,43983,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:36:48.318,    0.000,TCP  ,EXT_SERVER,23,10638_116,43983,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:36:49.342,    0.000,TCP  ,EXT_SERVER,23,26935_186,64613,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:36:49.342,    0.000,TCP  ,26935_186,64613,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:37:22.319,    0.000,TCP  ,EXT_SERVER,5358,26936_57,36473,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:37:22.319,    0.000,TCP  ,26936_57,36473,EXT_SERVER,5358,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:37:41.814,    0.000,TCP  ,26937_13,47925,EXT_SERVER,3389,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:37:41.814,    0.000,TCP  ,EXT_SERVER,3389,26937_13,47925,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:34:44.621,    0.015,UDP  ,10014_199,123,EXT_SERVER,48433,       1,      76,    1,......,  0,suspicious,---,---,---
2017-04-05 00:34:44.621,    0.015,UDP  ,EXT_SERVER,48433,10014_199,123,       1,      76,    1,......,  0,suspicious,---,---,---
2017-04-05 00:38:06.499,    0.000,TCP  ,26938_171,22589,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:38:06.499,    0.000,TCP  ,EXT_SERVER,23,26938_171,22589,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:40:16.964,    0.001,TCP  ,EXT_SERVER,5358,26939_30,5033,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:40:16.964,    0.001,TCP  ,26939_30,5033,EXT_SERVER,5358,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:40:52.328,    0.000,TCP  ,26940_44,59473,EXT_SERVER,1900,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:40:52.328,    0.000,TCP  ,EXT_SERVER,1900,26940_44,59473,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:42:00.185,    0.000,TCP  ,EXT_SERVER,23,26941_74,4288,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:42:00.185,    0.000,TCP  ,26941_74,4288,EXT_SERVER,23,       1,      60,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:42:46.635,    0.000,TCP  ,26942_171,41174,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:42:46.635,    0.000,TCP  ,EXT_SERVER,23,26942_171,41174,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:42:53.697,    0.000,TCP  ,22206_170,31407,EXT_SERVER,23,       1,      46,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:42:53.697,    0.000,TCP  ,EXT_SERVER,23,22206_170,31407,       1,      40,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:42:22.635,   37.339,TCP  ,EXT_SERVER,23,26919_113,46332,       2,      80,    1,.A.R..,  0,suspicious,---,---,---
2017-04-05 00:42:22.635,   37.339,TCP  ,26919_113,46332,EXT_SERVER,23,       2,      92,    1,....S.,  0,suspicious,---,---,---
2017-04-05 00:40:02.906,    0.000,UDP  ,11370_249,20097,EXT_SERVER,1900,       1,     122,    1,......,  0,suspicious,---,---,---
